model_id,gpus
BAAI/Aquila-7B,3
BAAI/AquilaChat-7B,3
Snowflake/snowflake-arctic-base,3
Snowflake/snowflake-arctic-instruct,3
baichuan-inc/Baichuan2-13B-Chat,3
baichuan-inc/Baichuan-7B,3
bigscience/bloom,3
bigscience/bloomz,3
facebook/bart-base,3
facebook/bart-large-cnn,3
google/deplot,3
microsoft/kosmos-2.5,3
google/byt5-large,3
google/byt5-small,3
abacusai/Smaug-34B-v0.1,3
replit/replit-code-v1_5-3b,3
replit/replit-code-v1_5-3b,3
codellama/CodeLlama-7b-Instruct-hf,3
codellama/CodeLlama-13b-Instruct-hf,3
codellama/CodeLlama-34b-Instruct-hf,3
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3
LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,3
LGAI-EXAONE/EXAONE-3.5-32B-Instruct,3
databricks/dbrx-instruct,3
THUDM/chatglm2-6b,3
THUDM/chatglm3-6b,3
facebook/wmt19-ru-en,3
CohereForAI/c4ai-command-r-v01,3
CohereForAI/c4ai-command-r7b-12-2024,3
databricks/dbrx-base,3
databricks/dbrx-instruct,3
Deci/DeciLM-7B,3
Deci/DeciLM-7B-instruct,3
deepseek-ai/deepseek-llm-67b-base,3
deepseek-ai/deepseek-llm-7b-chat,3
deepseek-ai/DeepSeek-V2,3
deepseek-ai/DeepSeek-V2-Chat,3
deepseek-ai/DeepSeek-V3-Base,3
deepseek-ai/DeepSeek-V3,3
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,3
tiiuae/falcon-7b,3
tiiuae/falcon-40b,3
tiiuae/falcon-rw-7b,3
tiiuae/falcon-mamba-7b,3
tiiuae/falcon-mamba-7b-instruct,3
google/recurrentgemma-2b,3
google/gemma-2b,3
google/gemma-7b,3
google/gemma-2-9b,3
google/gemma-2-27b,3
google/flan-t5-small,3
google/flan-t5-large,3
google/flan-t5-base,3
THUDM/glm-4-9b-chat-hf,3
openai-community/gpt2,3
openai-community/gpt2-xl,3
bigcode/starcoder,3
bigcode/gpt_bigcode-santacoder,3
WizardLM/WizardCoder-15B-V1.0,3
EleutherAI/gpt-j-6b,3
nomic-ai/gpt4all-j,3
EleutherAI/gpt-neox-20b,3
EleutherAI/pythia-12b,3
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,3
databricks/dolly-v2-12b,3
stabilityai/stablelm-tuned-alpha-7b,3
ibm-granite/granite-3.0-2b-base,3
ibm-granite/granite-3.1-8b-instruct,3
ibm/PowerLM-3b,3
ibm-granite/granite-3.0-1b-a400m-base,3
ibm-granite/granite-3.0-3b-a800m-instruct,3
ibm/PowerMoE-3b,3
xai-org/grok-1,3
parasail-ai/GritLM-7B-vllm,3
internlm/internlm-7b,3
internlm/internlm-chat-7b,3
internlm/internlm2-7b,3
internlm/internlm2-chat-7b,3
internlm/internlm3-8b-instruct,3
inceptionai/jais-13b,3
inceptionai/jais-13b-chat,3
inceptionai/jais-30b-v3,3
inceptionai/jais-30b-chat-v3,3
ai21labs/AI21-Jamba-1.5-Large,3
ai21labs/AI21-Jamba-1.5-Mini,3
ai21labs/Jamba-v0.1,3
01-ai/Yi-34B,3
state-spaces/mamba-130m-hf,3
state-spaces/mamba-790m-hf,3
state-spaces/mamba-2.8b-hf,3
openbmb/MiniCPM-2B-sft-bf16,3
openbmb/MiniCPM-2B-dpo-bf16,3
openbmb/MiniCPM-S-1B-sft,3
openbmb/MiniCPM3-4B,3
mistralai/Mistral-7B-v0.1,3
mistralai/Mistral-7B-Instruct-v0.1,3
mistralai/Mixtral-8x7B-v0.1,3
mistralai/Mixtral-8x7B-Instruct-v0.1,3
mistral-community/Mixtral-8x22B-v0.1,3
mosaicml/mpt-7b,3
mosaicml/mpt-7b-storywriter,3
mosaicml/mpt-30b,3
nvidia/Minitron-8B-Base,3
allenai/OLMo-1B-hf,3
allenai/OLMo-7B-hf,3
allenai/OLMo2-7B-1124,3
allenai/OLMoE-1B-7B-0924,3
allenai/OLMoE-1B-7B-0924-Instruct,3
facebook/opt-66b,3
facebook/opt-iml-max-30b,3
OrionStarAI/Orion-14B-Base,3
OrionStarAI/Orion-14B-Chat,3
microsoft/phi-1_5,3
microsoft/phi-2,3
microsoft/Phi-3-mini-4k-instruct,3
microsoft/Phi-3-mini-128k-instruct,3
microsoft/Phi-3-medium-128k-instruct,3
microsoft/Phi-3-small-8k-instruct,3
microsoft/Phi-3-small-128k-instruct,3
microsoft/Phi-3.5-MoE-instruct,3
adept/persimmon-8b-base,3
adept/persimmon-8b-chat,3
Qwen/Qwen-7B,3
Qwen/Qwen-7B-Chat,3
Qwen/QwQ-32B-Preview,3
Qwen/Qwen2-7B-Instruct,3
Qwen/Qwen2-7B,3
Qwen/Qwen1.5-MoE-A2.7B,3
Qwen/Qwen1.5-MoE-A2.7B-Chat,3
stabilityai/stablelm-3b-4e1t,3
stabilityai/stablelm-base-alpha-7b-v2,3
bigcode/starcoder2-3b,3
bigcode/starcoder2-7b,3
bigcode/starcoder2-15b,3
upstage/solar-pro-preview-instruct,3
TeleAI/TeleChat2-3B,3
TeleAI/TeleChat2-7B,3
TeleAI/TeleChat2-35B,3
xverse/XVERSE-7B-Chat,3
xverse/XVERSE-13B-Chat,3
xverse/XVERSE-65B-Chat,3
BAAI/bge-base-en-v1.5,3
BAAI/bge-multilingual-gemma2,3
intfloat/e5-mistral-7b-instruct,3
ssmits/Qwen2-7B-Instruct-embed-base,3
Alibaba-NLP/gte-Qwen2-7B-instruct,3
sentence-transformers/all-roberta-large-v1,3
intfloat/multilingual-e5-large,3
internlm/internlm2-1_8b-reward,3
internlm/internlm2-7b-reward,3
peiyi9979/math-shepherd-mistral-7b-prm,3
ai21labs/Jamba-tiny-reward-dev,3
jason9693/Qwen2.5-1.5B-apeach,3
cross-encoder/ms-marco-MiniLM-L-6-v2,3
cross-encoder/quora-roberta-base,3
BAAI/bge-reranker-v2-m3,3
rhymes-ai/Aria,3
Salesforce/blip2-opt-2.7b,3
Salesforce/blip2-opt-6.7b,3
facebook/chameleon-7b,3
deepseek-ai/deepseek-vl2-tiny,3
deepseek-ai/deepseek-vl2-small,3
deepseek-ai/deepseek-vl2,3
THUDM/glm-4v-9b,3
h2oai/h2ovl-mississippi-800m,3
h2oai/h2ovl-mississippi-2b,3
HuggingFaceM4/Idefics3-8B-Llama3,3
OpenGVLab/InternVL2_5-4B,3
OpenGVLab/Mono-InternVL-2B,3
OpenGVLab/InternVL2-4B,3
llava-hf/llava-1.5-7b-hf,3
TIGER-Lab/Mantis-8B-siglip-llama3,3
llava-hf/llava-v1.6-mistral-7b-hf,3
llava-hf/llava-v1.6-vicuna-7b-hf,3
llava-hf/LLaVA-NeXT-Video-7B-hf,3
llava-hf/llava-onevision-qwen2-7b-ov-hf,3
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,3
openbmb/MiniCPM-V-2,3
openbmb/MiniCPM-Llama3-V-2_5,3
openbmb/MiniCPM-V-2_6,3
meta-llama/Llama-3.2-11B-Vision,3
allenai/Molmo-7B-D-0924,3
nvidia/NVLM-D-72B,3
google/paligemma-3b-pt-224,3
google/paligemma-3b-mix-224,3
google/paligemma2-3b-ft-docci-448,3
google-bert/bert-large-cased,3
google-bert/bert-large-uncased,3
google-bert/bert-base-uncased,3
google-bert/bert-base-cased,3
microsoft/Phi-3-vision-128k-instruct,3
microsoft/Phi-3.5-vision-instruct,3
mistralai/Pixtral-12B-2409,3
mistral-community/pixtral-12b,3
Qwen/Qwen-VL,3
Qwen/Qwen-VL-Chat,3
Qwen/Qwen2-Audio-7B-Instruct,3
Qwen/Qwen2-VL-7B-Instruct,3
fixie-ai/ultravox-v0_3,3
royokong/e5-v,3
TIGER-Lab/VLM2Vec-Full,3
MrLight/dse-qwen2-2b-mrl-v1,3
albert/albert-base-v1,3
albert/albert-base-v2,3
albert/albert-xlarge-v2,3
